lon,lat,depth
-76.637398,44.192184,12.276090
-76.642784,44.178455,12.278062
-76.629753,44.167572,12.277564
-76.615791,44.198116,12.273900
-76.622643,44.191040,12.274343
-76.615791,44.183273,12.275195
-76.617516,44.173534,12.276443
-76.606926,44.168896,12.277688
-76.606316,44.194767,12.274127
-76.607628,44.185902,12.275389
-76.602386,44.181728,12.275821
-76.599976,44.174458,12.276872
-76.594688,44.202412,12.273175
-76.599785,44.197033,12.273808
-76.595032,44.192287,12.274569
-76.596336,44.185841,12.275319
-76.591400,44.181934,12.275929
-76.592415,44.174973,12.276858
-76.584846,44.172253,12.277470
-76.587364,44.200481,12.273570
-76.589027,44.194798,12.274325
-76.584579,44.191364,12.274866
-76.585655,44.184940,12.275719
-76.581146,44.182083,12.276171
-76.579323,44.176350,12.276993
-76.576279,44.204578,12.273273
-76.581024,44.200928,12.273612
-76.576637,44.196392,12.274362
-76.578529,44.192509,12.274860
-76.574219,44.188274,12.275569
-76.575752,44.184265,12.276026
-76.571617,44.180584,12.276631
-76.573189,44.176228,12.277208
-76.566612,44.174389,12.277760
-76.569740,44.203114,12.273643
-76.568237,44.198650,12.274285
-76.570396,44.195576,12.274665
-76.566193,44.191509,12.275350
-76.568123,44.188084,12.275755
-76.563835,44.184475,12.276376
-76.565788,44.180973,12.276795
-76.561584,44.177700,12.277454
-76.560387,44.207916,12.273291
-76.564697,44.204945,12.273552
-76.560776,44.202221,12.274046
-76.562378,44.198559,12.274477
-76.558784,44.195942,12.274972
-76.560448,44.191967,12.275466
-76.556763,44.189560,12.275945
-76.558228,44.185490,12.276448
-76.554588,44.183167,12.276925
-76.555992,44.178875,12.277511
-76.549919,44.177654,12.277963
-76.554649,44.207077,12.273565
-76.555923,44.203632,12.273999
-76.552742,44.202045,12.274306
-76.551643,44.198925,12.274806
-76.553459,44.196457,12.275104
-76.550011,44.193665,12.275618
-76.551659,44.190746,12.275965
-76.548210,44.188538,12.276406
-76.549683,44.185028,12.276863
-76.546310,44.183392,12.277232
-76.545135,44.180309,12.277746
-76.548187,44.210201,12.273355
-76.550713,44.208218,12.273530
-76.548424,44.206223,12.273873
-76.549179,44.203491,12.274217
-76.546967,44.201809,12.274547
-76.547615,44.199127,12.274917
-76.545425,44.197632,12.275220
-76.545998,44.194641,12.275623
-76.543495,44.193516,12.275878
-76.542549,44.190968,12.276288
-76.543968,44.188976,12.276517
-76.541443,44.186665,12.276958
-76.542320,44.184597,12.277218
-76.539894,44.182598,12.277633
-76.540688,44.180267,12.277954
-76.536888,44.179211,12.278330
-76.544670,44.209438,12.273557
-76.545441,44.207016,12.273861
-76.543320,44.205456,12.274135
-76.544090,44.202972,12.274478
-76.541946,44.201824,12.274716
-76.542633,44.199162,12.275088
-76.540497,44.198071,12.275323
-76.540794,44.195415,12.275708
-76.538734,44.194504,12.275917
-76.537819,44.192123,12.276310
-76.538933,44.190491,12.276510
-76.536827,44.188381,12.276916
-76.537918,44.186554,12.277135
-76.535439,44.184616,12.277542
-76.536552,44.182735,12.277781
-76.534088,44.180988,12.278197
-76.540092,44.211079,12.273511
-76.541412,44.209629,12.273618
-76.539238,44.207855,12.273924
-76.540375,44.206100,12.274136
-76.538200,44.204433,12.274459
-76.539009,44.202637,12.274696
-76.536873,44.201000,12.275017
-76.537682,44.199093,12.275270
-76.535561,44.197479,12.275596
-76.536324,44.195545,12.275856
-76.534218,44.193966,12.276184
-76.534966,44.192001,12.276447
-76.532837,44.190380,12.276795
-76.533577,44.188396,12.277063
-76.531334,44.186283,12.277503
-76.532097,44.184330,12.277762
-76.531189,44.181950,12.278195
-76.528969,44.181091,12.278492
-76.400696,44.114620,14.855849
-76.399971,44.108257,16.381390
-76.391838,44.105419,17.905237
-76.392120,44.119602,15.246019
-76.392700,44.116093,15.572945
-76.386879,44.114254,17.097664
-76.386742,44.109936,17.904419
-76.381645,44.108906,18.693468
-76.384956,44.123188,16.029346
-76.385803,44.120678,16.161720
-76.381157,44.119457,17.276766
-76.381645,44.116535,17.885782
-76.377350,44.115723,18.687931
-76.377495,44.112408,18.688866
-76.373543,44.111988,18.689238
-76.378853,44.126087,16.888924
-76.379692,44.124146,16.816322
-76.375832,44.123245,17.754501
-76.376457,44.121063,18.082573
-76.372810,44.120403,18.691271
-76.373222,44.117977,18.687616
-76.369789,44.117554,18.684803
-76.369987,44.114887,18.685490
-76.366768,44.114704,18.690031
-76.374123,44.128311,18.154581
-76.374641,44.126820,17.826868
-76.371643,44.125996,18.362635
-76.372002,44.124363,18.362869
-76.369164,44.123688,18.690866
-76.369362,44.121906,18.691200
-76.366684,44.121372,18.691383
-76.366714,44.119446,18.688639
-76.364204,44.119064,18.688900
-76.364075,44.116993,18.689604
-76.361732,44.116749,18.693350
-76.371315,44.129848,18.689877
-76.371315,44.128788,18.689957
-76.369209,44.128021,18.690031
-76.369019,44.126720,18.690420
-76.366966,44.125977,18.690525
-76.366760,44.124577,18.690739
-76.364891,44.123871,18.690920
-76.364624,44.122448,18.691229
-76.362740,44.121872,18.691507
-76.362297,44.120419,18.691921
-76.360573,44.119923,18.692472
-76.360146,44.118328,18.693195
-76.358604,44.118011,18.693836
-76.536522,44.211597,12.273574
-76.533943,44.211048,12.275358
-76.533852,44.209034,12.275612
-76.536041,44.207546,12.274078
-76.535461,44.205311,12.274426
-76.533463,44.203899,12.274702
-76.534065,44.201382,12.275056
-76.532112,44.199921,12.275350
-76.532799,44.197926,12.275635
-76.530830,44.196529,12.275931
-76.531487,44.194500,12.276220
-76.529533,44.193127,12.276530
-76.530136,44.190975,12.276842
-76.528130,44.189594,12.277170
-76.528587,44.186890,12.277563
-76.526367,44.185486,12.277921
-76.526443,44.182835,12.278363
-76.523796,44.182049,12.278719
-76.369774,44.130527,18.689823
-76.367897,44.130634,18.689812
-76.366615,44.129650,18.689890
-76.367157,44.128437,18.689993
-76.365044,44.127563,18.690361
-76.365059,44.126404,18.690506
-76.362968,44.125366,18.690714
-76.362999,44.124226,18.690914
-76.361610,44.122955,18.691309
-76.359993,44.122616,18.691488
-76.359398,44.121033,18.692232
-76.357552,44.121063,18.692526
-76.356415,44.120041,18.693184
-76.357056,44.118824,18.693716
-76.530640,44.212452,12.275361
-76.528198,44.212189,12.277639
-76.527214,44.210964,12.371522
-76.526970,44.209625,12.432480
-76.528236,44.208637,12.339460
-76.530838,44.208221,12.276479
-76.529961,44.205917,12.275161
-76.530861,44.204163,12.274739
-76.528893,44.202061,12.275117
-76.529541,44.200333,12.275373
-76.527733,44.198910,12.275662
-76.528328,44.197094,12.275937
-76.526543,44.195740,12.276237
-76.527092,44.193802,12.276542
-76.525360,44.192463,12.276855
-76.525787,44.190411,12.277171
-76.523811,44.189163,12.277495
-76.523941,44.186939,12.277852
-76.521614,44.185944,12.278178
-76.521385,44.183701,12.278605
-76.518616,44.182972,12.279009
-76.366920,44.131794,18.689936
-76.365372,44.132465,15.733845
-76.363823,44.132130,14.241385
-76.363411,44.130829,17.197510
-76.364449,44.129841,18.690102
-76.363014,44.128834,18.690165
-76.363075,44.127766,18.690321
-76.361137,44.126816,18.690422
-76.361000,44.125576,18.690670
-76.358910,44.124645,18.690815
-76.358650,44.123409,18.691202
-76.356812,44.122501,18.691776
-76.354942,44.123005,19.836391
-76.353539,44.121845,19.837622
-76.354271,44.120316,18.693665
-76.525429,44.213516,10.670908
-76.523354,44.213013,11.479590
-76.524147,44.211529,13.178505
-76.522430,44.210773,14.501012
-76.523605,44.209412,13.755486
-76.522179,44.208767,15.091344
-76.522804,44.207367,13.914178
-76.524483,44.206470,12.492478
-76.526520,44.206928,12.345803
-76.527527,44.205425,12.283027
-76.526070,44.203930,12.282646
-76.526535,44.202320,12.275158
-76.524803,44.200970,12.275426
-76.525337,44.199291,12.275677
-76.523674,44.197926,12.275968
-76.524269,44.196194,12.276256
-76.522636,44.194855,12.276565
-76.523163,44.193069,12.276862
-76.521599,44.191875,12.277169
-76.521812,44.190022,12.277487
-76.519569,44.189312,12.277770
-76.519234,44.187450,12.278105
-76.516953,44.186749,12.278353
-76.516556,44.184509,12.278834
-76.513664,44.183857,10.567580
-76.362206,44.133358,8.482855
-76.360435,44.133121,8.547665
-76.359413,44.131886,12.862520
-76.359917,44.130718,14.860831
-76.361687,44.130341,16.304514
-76.361473,44.129093,17.797113
-76.359711,44.128490,19.489813
-76.359306,44.127277,20.382963
-76.357292,44.126572,22.723080
-76.357025,44.125179,21.030680
-76.354889,44.124447,22.175684
-76.353241,44.125477,27.783485
-76.351105,44.125484,25.860794
-76.349709,44.124332,14.376201
-76.350197,44.122894,11.001710
-76.351860,44.121853,16.879734
-76.520485,44.214931,8.188395
-76.521141,44.213562,12.247703
-76.519524,44.212612,16.944176
-76.520020,44.211304,17.498569
-76.518608,44.210239,20.215261
-76.519585,44.209061,18.553562
-76.518127,44.207973,19.589911
-76.518646,44.206722,17.238987
-76.520729,44.206409,15.025474
-76.520905,44.204601,13.596231
-76.522705,44.203716,12.422260
-76.524208,44.204624,12.429803
-76.522827,44.201672,12.275373
-76.521339,44.200962,12.275542
-76.520638,44.199352,12.275813
-76.521370,44.198025,12.276008
-76.519791,44.196514,12.276324
-76.520447,44.195080,12.276594
-76.518829,44.193668,12.276937
-76.519447,44.192257,12.277215
-76.518066,44.190731,12.277595
-76.515862,44.190826,11.272354
-76.514275,44.189564,9.916095
-76.514732,44.187832,10.921700
-76.512672,44.186947,9.267054
-76.512001,44.185211,8.912455
-76.509483,44.184605,5.239068
-76.358864,44.134380,4.122180
-76.357216,44.133732,9.661515
-76.357361,44.132229,14.135864
-76.355576,44.131496,21.018190
-76.355171,44.130154,26.510923
-76.356544,44.129208,24.212612
-76.358498,44.129486,18.046078
-76.355743,44.127506,27.996464
-76.353813,44.127148,31.911867
-76.352364,44.128384,35.857567
-76.350456,44.128284,34.173447
-76.349762,44.127056,28.305059
-76.347702,44.127361,22.693504
-76.346428,44.126324,13.170870
-76.347092,44.124863,7.297829
-76.518280,44.214893,10.943901
-76.517616,44.213337,17.285969
-76.516716,44.216034,7.437843
-76.515747,44.212856,19.478626
-76.515358,44.211430,21.925711
-76.516602,44.210316,22.488113
-76.515266,44.209080,21.606236
-76.515816,44.207920,20.369728
-76.514366,44.206635,18.879372
-76.515114,44.205456,18.703579
-76.517082,44.205486,17.843012
-76.517639,44.204254,16.451431
-76.519386,44.203678,14.418164
-76.519691,44.202087,13.244362
-76.518356,44.201405,14.107854
-76.518700,44.199707,13.139155
-76.517494,44.198986,13.886142
-76.516899,44.197437,13.170132
-76.517555,44.196346,12.423460
-76.516022,44.194962,11.785876
-76.516632,44.193714,11.639081
-76.515045,44.192394,10.634120
-76.512833,44.192703,9.007892
-76.511284,44.191715,7.671027
-76.511909,44.190144,7.940996
-76.510323,44.189178,6.608272
-76.510628,44.187714,6.928727
-76.508820,44.186985,5.771005
-76.508354,44.185612,4.435947
-76.505989,44.185360,3.364616
-76.504860,44.184376,2.204009
-76.354500,44.136013,2.557727
-76.354042,44.134918,5.866083
-76.355202,44.133957,9.969497
-76.353981,44.132416,19.878536
-76.352203,44.132092,29.345245
-76.351555,44.130707,38.214447
-76.352913,44.129688,34.240471
-76.349327,44.130611,38.677769
-76.348778,44.129490,33.019676
-76.347038,44.128922,26.730360
-76.345100,44.129318,22.437206
-76.343468,44.128117,12.192832
-76.344139,44.126682,6.963352
-76.514244,44.215698,11.739018
-76.513939,44.214069,17.437737
-76.512749,44.216908,8.037179
-76.512024,44.213734,19.420679
-76.511589,44.212067,16.479359
-76.513115,44.210972,16.943499
-76.513123,44.209499,16.190086
-76.511620,44.208660,14.873908
-76.512306,44.206959,18.799702
-76.511024,44.206036,18.574493
-76.511353,44.204376,18.031467
-76.512878,44.203388,17.875099
-76.514458,44.203976,18.170509
-76.516136,44.203228,17.104961
-76.516541,44.201977,15.935188
-76.515274,44.200928,16.519501
-76.515892,44.199635,15.439153
-76.514427,44.198711,16.173107
-76.514793,44.197437,14.767305
-76.513222,44.196503,13.975181
-76.513786,44.195114,11.740424
-76.512184,44.194180,9.967400
-76.509972,44.194775,9.531341
-76.508324,44.193928,7.726395
-76.508987,44.192341,6.825592
-76.507629,44.191357,6.513693
-76.508339,44.189762,6.026404
-76.506493,44.188919,5.850891
-76.506660,44.187611,5.275036
-76.504982,44.186737,4.887203
-76.502922,44.186890,4.672337
-76.501686,44.185505,3.922580
-76.502632,44.184372,2.976840
-76.501869,44.182922,2.004742
-76.352425,44.136806,3.465230
-76.350349,44.136688,5.025213
-76.350014,44.135517,7.041021
-76.351624,44.134537,8.789393
-76.354164,44.139080,1.281445
-76.352478,44.138271,2.101144
-76.351006,44.133259,22.359514
-76.349243,44.132950,35.770660
-76.348213,44.131687,43.219719
-76.345955,44.131886,40.281010
-76.344398,44.130829,28.749453
-76.342033,44.130981,22.188194
-76.340424,44.129795,10.277911
-76.341164,44.128445,6.594797
-76.510857,44.216640,11.925761
-76.510445,44.215099,17.610546
-76.509514,44.217915,7.363369
-76.508636,44.214905,18.773542
-76.508148,44.213303,20.061560
-76.509514,44.211826,15.957240
-76.508331,44.210392,15.230600
-76.509254,44.209045,15.071129
-76.507835,44.207794,19.159300
-76.508911,44.206482,18.736874
-76.508064,44.205017,18.257177
-76.509567,44.203724,17.798130
-76.509140,44.202118,17.275251
-76.510437,44.201077,16.920055
-76.512390,44.201694,17.286566
-76.513420,44.200756,17.101995
-76.512871,44.199306,16.871954
-76.511230,44.198643,16.854757
-76.511223,44.197113,15.363787
-76.509575,44.196320,12.692971
-76.507683,44.197124,14.140761
-76.505943,44.196400,11.272788
-76.506180,44.194748,8.020055
-76.504440,44.194096,7.394277
-76.504173,44.192551,6.901803
-76.505470,44.191456,6.663511
-76.504700,44.189865,6.363750
-76.502739,44.189495,6.116711
-76.501900,44.188080,5.212908
-76.499733,44.187881,4.746937
-76.498772,44.186581,4.145613
-76.499702,44.185390,3.861827
-76.498688,44.183857,3.612078
-76.499908,44.182526,2.700733
-76.499321,44.181026,1.970489
-76.350746,44.139221,3.199630
-76.349281,44.138107,4.554625
-76.347664,44.138489,6.377367
-76.345970,44.137539,10.143595
-76.345909,44.136108,19.223932
-76.347900,44.135212,17.256187
-76.347748,44.133923,32.415710
-76.354210,44.140808,1.673518
-76.352478,44.141567,1.910425
-76.350708,44.140793,2.616839
-76.356110,44.141491,1.589134
-76.345634,44.133270,41.719223
-76.343910,44.133972,43.149040
-76.341827,44.133595,43.794689
-76.340950,44.132298,29.430136
-76.338478,44.132172,20.431480
-76.337151,44.130939,8.721468
-76.338005,44.129879,5.809839
-76.507561,44.217823,10.929135
-76.507088,44.216351,16.654528
